                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.396,                 2.5869,                 1.0727,                0.74031,                0.66447,                0.72876,                0.45152,                  1.211,                 1.6694,                 1.0206,              0.0002369,              0.0002369,              0.0002369
                      2,                 1.2159,                 1.5525,                0.99955,                 0.7566,                0.69444,                0.76921,                0.48571,                 1.1709,                 1.1196,                0.99727,              0.0004514,              0.0004514,              0.0004514
                      3,                 1.2081,                 1.1891,                0.99983,                0.87029,                0.64014,                0.77972,                0.51605,                 1.1408,                  1.077,                 1.0041,             0.00064233,             0.00064233,             0.00064233
                      4,                 1.1605,                 1.0335,                0.97574,                0.83241,                0.66588,                0.77028,                0.48877,                  1.158,                0.95965,                 1.0023,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.1242,                0.89496,                0.97609,                0.78076,                0.71377,                0.80373,                0.53159,                 1.0845,                0.86832,                0.99961,             0.00057263,             0.00057263,             0.00057263
                      6,                 1.1308,                0.85986,                0.98546,                 0.8096,                 0.7343,                0.81713,                0.54972,                 1.1099,                0.86013,                 1.0024,             0.00053728,             0.00053728,             0.00053728
                      7,                 1.0839,                 0.7938,                0.97335,                0.80332,                0.70538,                0.79035,                0.53723,                 1.0559,                0.86095,                0.97603,             0.00050194,             0.00050194,             0.00050194
                      8,                 1.0854,                  0.794,                0.98286,                0.86592,                0.70531,                0.83093,                0.58369,                 1.0424,                0.78959,                0.98018,              0.0004666,              0.0004666,              0.0004666
                      9,                 1.0248,                0.70383,                0.94323,                0.85042,                0.72947,                  0.833,                0.59587,                0.99413,                0.76149,                 0.9686,             0.00043126,             0.00043126,             0.00043126
                     10,                 1.0269,                 0.7339,                0.95215,                0.83664,                0.73068,                 0.8186,                0.58396,                0.99577,                0.77826,                0.95408,             0.00039591,             0.00039591,             0.00039591
                     11,                 1.0327,                0.72234,                0.96731,                0.85327,                0.72101,                0.82132,                0.58676,                0.97293,                 0.7975,                0.96425,             0.00036057,             0.00036057,             0.00036057
                     12,                0.99592,                0.70279,                0.94812,                0.84318,                0.74034,                 0.8338,                 0.5895,                0.98912,                0.76791,                0.95905,             0.00032523,             0.00032523,             0.00032523
                     13,                0.96787,                0.66859,                0.94585,                0.84501,                0.72343,                0.83124,                0.58333,                0.98407,                0.76101,                0.95812,             0.00028988,             0.00028988,             0.00028988
                     14,                0.95677,                0.63863,                  0.941,                0.85389,                0.73402,                0.82239,                 0.5887,                0.97415,                0.74785,                0.96264,             0.00025454,             0.00025454,             0.00025454
                     15,                0.92061,                0.62708,                0.94056,                0.86371,                0.73309,                0.84033,                0.59875,                0.97251,                0.72433,                0.96103,              0.0002192,              0.0002192,              0.0002192
                     16,                0.92068,                0.60552,                 0.9375,                0.87031,                   0.75,                0.85144,                0.61818,                0.92246,                0.69697,                0.93957,             0.00018385,             0.00018385,             0.00018385
                     17,                0.89743,                0.58151,                0.91286,                0.85558,                0.75129,                0.85023,                0.61852,                0.94463,                0.69777,                0.94297,             0.00014851,             0.00014851,             0.00014851
                     18,                0.89245,                0.56554,                0.91675,                0.89154,                0.73551,                0.85477,                0.62568,                0.91228,                0.67439,                0.93801,             0.00011317,             0.00011317,             0.00011317
                     19,                0.85867,                0.55936,                0.90746,                0.86741,                0.73482,                0.84318,                0.61135,                0.93671,                0.68193,                0.93688,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.89389,                0.54022,                0.91865,                0.89512,                0.74216,                0.84847,                0.61892,                0.93405,                0.68132,                0.93809,             4.2483e-05,             4.2483e-05,             4.2483e-05
